### DATA:
#
# 1229
#      Q             I(Q)           Error     
4.25604108E-03  5.03971349E-03  2.99720036E-03
4.53977704E-03  9.90306718E-03  2.28452207E-03
4.82351297E-03  1.24703923E-02  1.77797183E-03
5.10724888E-03  1.16902558E-02  1.46057770E-03
5.39098477E-03  1.15953049E-02  1.36272156E-03
5.67472063E-03  1.12422818E-02  1.06258154E-03
5.95845646E-03  1.17459569E-02  8.41290871E-04
6.24219226E-03  1.11609347E-02  7.04064277E-04
6.52592804E-03  1.05405849E-02  5.96697922E-04
6.80966378E-03  1.07180302E-02  5.28524203E-04
7.09339948E-03  1.17107168E-02  4.36492196E-04
7.37713515E-03  1.02640497E-02  4.07610909E-04
7.66087079E-03  1.09976636E-02  3.67158675E-04
7.94460639E-03  1.13136161E-02  3.52782438E-04
8.22834195E-03  1.05877087E-02  3.36570990E-04
8.51207747E-03  1.10045006E-02  3.12880269E-04
8.79581295E-03  1.11000941E-02  3.17029184E-04
9.07954838E-03  1.13794348E-02  2.93196348E-04
9.36328377E-03  1.11513412E-02  2.86085673E-04
9.64701911E-03  1.15072395E-02  2.81470207E-04
9.93075441E-03  1.07955531E-02  2.65263205E-04
1.02144897E-02  1.17295738E-02  2.74874608E-04
1.04982249E-02  1.15765175E-02  2.54912040E-04
1.07819600E-02  1.11400584E-02  2.52656782E-04
1.10656951E-02  1.09153702E-02  2.47664419E-04
1.13494301E-02  1.14140200E-02  2.41939188E-04
1.16331651E-02  1.11904147E-02  2.43625878E-04
1.19169001E-02  1.12654224E-02  2.32995047E-04
1.22006349E-02  1.05480872E-02  2.29348723E-04
1.24843697E-02  1.11199734E-02  2.31594439E-04
1.27681045E-02  1.15245843E-02  2.28180283E-04
1.30518392E-02  1.15395415E-02  2.14762623E-04
1.33355738E-02  1.12545082E-02  2.02562682E-04
1.36193083E-02  1.12284635E-02  1.99765517E-04
1.39030428E-02  1.10301019E-02  1.95344453E-04
1.41867773E-02  1.13287550E-02  1.87758694E-04
1.44705116E-02  1.14424549E-02  1.82327027E-04
1.47542459E-02  1.11152951E-02  1.78230018E-04
1.50379801E-02  1.13122539E-02  1.80378377E-04
1.53217142E-02  1.06698609E-02  1.73808497E-04
1.56054483E-02  1.10137286E-02  1.74447750E-04
1.58891823E-02  1.10234415E-02  1.69545989E-04
1.61729162E-02  1.08767592E-02  1.69002603E-04
1.64566500E-02  1.11010931E-02  1.68042950E-04
1.67403837E-02  1.09137358E-02  1.64521667E-04
1.70241174E-02  1.11400403E-02  1.62173910E-04
1.73078510E-02  1.12574776E-02  1.61616318E-04
1.75915845E-02  1.10759607E-02  1.59557631E-04
1.78753179E-02  1.11396438E-02  1.55950290E-04
1.81590512E-02  1.12764249E-02  1.54127751E-04
1.84427845E-02  1.08677685E-02  1.55035691E-04
1.87265176E-02  1.08352300E-02  1.53239958E-04
1.90102506E-02  1.11699397E-02  1.49131031E-04
1.92939836E-02  1.09414679E-02  1.45562942E-04
1.95777165E-02  1.09430334E-02  1.43952811E-04
1.98614492E-02  1.08203987E-02  1.48081542E-04
2.01451819E-02  1.10174764E-02  1.46862072E-04
2.04289145E-02  1.09288809E-02  1.48045120E-04
2.07126470E-02  1.08635416E-02  1.49114065E-04
2.09963793E-02  1.09319806E-02  1.49377195E-04
2.12801116E-02  1.08532622E-02  1.49576237E-04
2.15638438E-02  1.06737205E-02  1.47667008E-04
2.18475758E-02  1.10021043E-02  1.48761417E-04
2.21313078E-02  1.06434484E-02  1.45767963E-04
