Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): D:/DATANALYSIS_C/Reference_Proteins_Benchmark_SAXS_102018/Standards Data Share_JT_201119/SAXS/UMD-APS from Alex/Lsz_APS_12IDB_1.0mgmL.dat D:/DATANALYSIS_C/Reference_Proteins_Benchmark_SAXS_102018/Standards Data Share_JT_201119/SAXS/UMD-APS from Alex/Lsz_APS_12IDB_5.0mgmL.dat  
 5.079700e-003  1.148536e-002  1.124239e-002
 5.254660e-003  1.074239e-002  7.340938e-003
 5.435640e-003  1.173081e-002  7.823888e-003
 5.622860e-003  1.246657e-002  7.170011e-003
 5.816530e-003  1.185166e-002  5.081329e-003
 6.016860e-003  1.014597e-002  4.501039e-003
 6.224100e-003  1.079015e-002  4.303460e-003
 6.438470e-003  1.173517e-002  4.273785e-003
 6.660230e-003  1.041713e-002  3.834050e-003
 6.889630e-003  1.116466e-002  3.401916e-003
 7.126920e-003  1.226019e-002  3.104685e-003
 7.372390e-003  1.021539e-002  2.596207e-003
 7.626320e-003  1.112203e-002  2.268904e-003
 7.888990e-003  1.016930e-002  2.095253e-003
 8.160700e-003  1.154391e-002  1.844799e-003
 8.441780e-003  1.027561e-002  2.011863e-003
 8.732540e-003  1.137104e-002  1.485221e-003
 9.033310e-003  1.057081e-002  1.605224e-003
 9.344440e-003  1.157911e-002  1.471502e-003
 9.666280e-003  1.082229e-002  1.264802e-003
 9.999220e-003  1.146153e-002  1.176698e-003
 1.034360e-002  1.127591e-002  1.069688e-003
 1.069990e-002  9.936907e-003  1.004212e-003
 1.106840e-002  1.112193e-002  8.992276e-004
 1.144960e-002  1.019304e-002  9.941357e-004
 1.184400e-002  1.097073e-002  8.605923e-004
 1.225190e-002  1.000049e-002  8.394693e-004
 1.267390e-002  1.141070e-002  7.080160e-004
 1.311040e-002  1.131487e-002  7.179829e-004
 1.356200e-002  1.028125e-002  6.270065e-004
 1.402910e-002  1.005202e-002  4.915722e-004
 1.451230e-002  1.046252e-002  4.767043e-004
 1.501210e-002  1.088855e-002  3.834493e-004
 1.552920e-002  1.089270e-002  3.898642e-004
 1.606410e-002  1.052818e-002  3.558956e-004
 1.661730e-002  1.096826e-002  2.950906e-004
 1.718970e-002  1.011739e-002  3.049513e-004
 1.778170e-002  1.053916e-002  2.505264e-004
 1.839420e-002  9.981507e-003  2.180210e-004
 1.902770e-002  1.045392e-002  2.421369e-004
 1.968310e-002  1.050702e-002  2.128111e-004
 2.036100e-002  1.000692e-002  2.099797e-004
 2.106230e-002  1.022735e-002  1.873984e-004
 2.178780e-002  1.011007e-002  1.529548e-004
 2.253820e-002  1.023379e-002  8.265427e-005
 2.331450e-002  1.024415e-002  7.607085e-005
 2.411750e-002  1.011410e-002  7.051197e-005
 2.494810e-002  1.011270e-002  6.083309e-005
 2.580740e-002  1.003810e-002  6.559077e-005
 2.669630e-002  1.011149e-002  5.449252e-005
 2.761580e-002  9.944632e-003  5.169391e-005
 2.856690e-002  9.882625e-003  5.250251e-005
 2.955090e-002  9.884859e-003  5.444199e-005
 3.056870e-002  9.875756e-003  2.302756e-005
 3.162150e-002  9.865665e-003  2.094261e-005
 3.271070e-002  9.778312e-003  2.001278e-005
 3.383730e-002  9.753161e-003  2.087651e-005
 3.500270e-002  9.666038e-003  1.987642e-005
 3.620830e-002  9.607522e-003  1.859091e-005
 3.745540e-002  9.557128e-003  1.989089e-005
 3.874550e-002  9.509130e-003  1.949809e-005
 4.008000e-002  9.430705e-003  1.834384e-005
 4.146050e-002  9.330165e-003  1.935033e-005
 4.288850e-002  9.250953e-003  1.656138e-005
 4.436560e-002  9.183688e-003  1.573720e-005
 4.589370e-002  9.116103e-003  1.288436e-005
 4.747440e-002  8.982022e-003  1.372089e-005
 4.910950e-002  8.895331e-003  1.225639e-005
 5.080100e-002  8.788442e-003  1.389676e-005
 5.255070e-002  8.701069e-003  1.148647e-005
 5.436070e-002  8.587777e-003  1.526833e-005
 5.623300e-002  8.456952e-003  1.382109e-005
 5.816980e-002  8.314660e-003  1.193435e-005
 6.017340e-002  8.181169e-003  1.174179e-005
 6.224590e-002  8.031043e-003  1.017817e-005
 6.438980e-002  7.882758e-003  1.063251e-005
 6.660750e-002  7.742970e-003  1.148075e-005
 6.890170e-002  7.562449e-003  1.057974e-005
 7.127480e-002  7.390532e-003  1.064838e-005
 7.372970e-002  7.211353e-003  9.739251e-006
 7.626920e-002  7.016413e-003  1.035453e-005
 7.889610e-002  6.823959e-003  9.129209e-006
 8.161340e-002  6.622812e-003  7.024252e-006
 8.442440e-002  6.391162e-003  7.693336e-006
 8.733220e-002  6.159817e-003  6.952323e-006
 9.034020e-002  5.935916e-003  8.547411e-006
 9.345170e-002  5.726216e-003  7.922271e-006
 9.667040e-002  5.463225e-003  6.798237e-006
 1.000000e-001  5.235351e-003  8.537355e-006
 1.020000e-001  5.064186e-003  8.500432e-006
 1.040000e-001  4.932107e-003  6.810842e-006
 1.060000e-001  4.785630e-003  8.494329e-006
 1.080000e-001  4.634251e-003  7.268001e-006
 1.100000e-001  4.488418e-003  8.984403e-006
 1.120000e-001  4.363423e-003  7.011936e-006
 1.140000e-001  4.225784e-003  6.886038e-006
 1.160000e-001  4.074136e-003  8.085639e-006
 1.180000e-001  3.948695e-003  8.086097e-006
 1.200000e-001  3.811609e-003  8.069684e-006
 1.220000e-001  3.686384e-003  9.013335e-006
 1.240000e-001  3.558421e-003  8.838310e-006
 1.260000e-001  3.424376e-003  7.397365e-006
 1.280000e-001  3.314071e-003  7.175073e-006
